call_id,date,technician_id,machine_id,issue_type,duration_hours
C00058,2023-04-14,T339,M1796,Electrical Fault,3.05
C00059,2023-06-20,T419,M4365,Calibration,1.71
C00060,2023-12-05,T447,M1854,Electrical Fault,1.81
C00061,2023-08-31,T546,M234,Calibration,1.04
C00062,2023-05-08,T112,M2035,Sensor Replacement,1.19
C00063,2023-04-04,T478,M2758,Software Update,1.61
C00064,2023-12-08,T535,M366,Emergency Repair,5.96
C00065,2023-12-16,T956,M821,Calibration,4.89
C00066,2023-08-02,T371,M2589,Calibration,3.38
C00067,2023-04-22,T186,M1567,Software Update,0.64
C00068,2023-08-20,T660,M2424,Mechanical Failure,0.89
C00069,2023-12-24,T701,M2592,Calibration,22.78
C00070,2024-02-04,T166,M3311,Calibration,0.66
C00071,2024-04-25,T739,M2923,Routine Maintenance,2.06
C00072,2023-08-18,T446,M4508,Inspection,2.15
C00073,2023-09-26,T510,M2070,Calibration,6.0
C00074,2024-06-12,T215,M438,Inspection,0.3
C00075,2024-01-17,T715,M366,Electrical Fault,3.76
C00076,2023-02-28,T372,M729,Routine Maintenance,0.45
C00077,2023-06-17,T280,M4092,Emergency Repair,3.64
C00078,2023-04-12,T822,M2777,Electrical Fault,0.09
C00079,2023-09-27,T833,M4118,Calibration,0.51
C00080,2024-05-17,T735,M883,Emergency Repair,0.19
C00081,2023-02-20,T331,M4449,Emergency Repair,5.35
C00082,2023-10-09,T567,M3254,Sensor Replacement,1.54
C00083,2023-02-28,T472,M1835,Software Update,2.21
C00084,2023-06-03,T815,M2191,Calibration,0.07
C00085,2024-06-19,T319,M4074,Calibration,10.72
C00086,2023-05-29,T196,M076,Calibration,2.99
C00087,2024-02-04,T519,M4271,Sensor Replacement,0.76
C00088,2023-09-14,T723,M3571,Calibration,0.42
C00089,2024-01-20,T965,M4969,Mechanical Failure,3.11
C00090,2023-06-17,T380,M4898,Routine Maintenance,1.14
C00091,2023-06-27,T004,M2136,Mechanical Failure,1.37
C00092,2024-05-17,T504,M3060,Mechanical Failure,6.72
C00093,2023-07-18,T545,M1789,Calibration,4.02
C00094,2023-12-23,T765,M2953,Emergency Repair,2.74
C00095,2023-04-02,T060,M3601,Emergency Repair,4.17
C00096,2024-03-24,T163,M3834,Inspection,0.95
C00097,2024-04-26,T387,M1164,Sensor Replacement,0.25
C00098,2024-01-27,T193,M1024,Software Update,0.43
C00099,2023-04-26,T401,M3209,Routine Maintenance,1.64
C00100,2024-01-23,T015,M111,Calibration,2.09
C00101,2024-04-29,T724,M1251,Mechanical Failure,1.22
C00102,2024-03-20,T823,M3412,Routine Maintenance,1.31
C00103,2023-06-27,T836,M160,Inspection,3.06
C00104,2023-02-19,T334,M3250,Electrical Fault,0.01
C00105,2023-11-26,T221,M391,Routine Maintenance,4.44
C00106,2023-11-27,T570,M3352,Software Update,0.52
C00107,2023-03-28,T060,M3338,Emergency Repair,0.06
C00108,2023-09-09,T038,M3232,Routine Maintenance,5.12
C00109,2023-02-13,T109,M508,Software Update,2.82
C00110,2024-04-09,T500,M1244,Mechanical Failure,3.93
C00111,2024-04-11,T946,M2601,Electrical Fault,1.43
C00112,2023-09-12,T213,M1595,Electrical Fault,0.98
C00113,2023-08-20,T407,M3971,Routine Maintenance,2.15
C00114,2023-09-02,T647,M2694,Calibration,1.15
C00115,2023-07-13,T291,M1218,Routine Maintenance,2.28
C00116,2023-02-28,T290,M4186,Routine Maintenance,1.64
C00117,2023-09-27,T456,M4759,Sensor Replacement,2.76
C00118,2023-06-13,T671,M966,Sensor Replacement,3.13
C00119,2023-10-11,T038,M2412,Routine Maintenance,0.87
C00120,2023-12-26,T117,M1664,Sensor Replacement,0.51
C00121,2023-06-10,T547,M4230,Software Update,0.93
C00122,2024-01-24,T401,M2628,Mechanical Failure,1.67
C00123,2023-01-28,T372,M4343,Sensor Replacement,3.56
C00124,2024-05-21,T694,M3281,Inspection,3.9
C00125,2023-10-09,T026,M3507,Electrical Fault,1.95
C00126,2023-02-16,T439,M3539,Sensor Replacement,0.31
C00127,2024-01-07,T007,M2103,Software Update,1.01
C00128,2023-02-18,T388,M802,Calibration,0.28
C00129,2023-08-30,T617,M817,Mechanical Failure,1.26
C00130,2023-01-24,T711,M4091,Sensor Replacement,2.06
C00131,2023-11-06,T720,M4934,Calibration,8.07
C00132,2023-01-20,T039,M4443,Routine Maintenance,3.18
C00133,2023-05-22,T159,M1277,Routine Maintenance,12.49
C00134,2023-10-14,T205,M3219,Emergency Repair,3.38
C00135,2023-07-26,T583,M2217,Software Update,1.32
C00136,2024-03-18,T997,M2905,Calibration,1.85
C00137,2024-04-09,T554,M1047,Mechanical Failure,0.49
C00138,2023-06-10,T226,M4942,Inspection,0.89
C00139,2024-06-10,T218,M982,Inspection,0.26
C00140,2023-08-12,T964,M3101,Inspection,5.76
C00141,2023-08-12,T050,M1556,Inspection,1.33
C00142,2024-05-11,T808,M1777,Mechanical Failure,0.17
C00143,2023-01-10,T472,M3181,Software Update,0.3
C00144,2023-03-12,T157,M721,Emergency Repair,4.48
C00145,2024-02-02,T609,M2672,Emergency Repair,0.76
C00146,2023-10-06,T931,M4448,Mechanical Failure,2.47
C00147,2023-09-22,T402,M3811,Mechanical Failure,0.33
C00148,2023-04-21,T644,M2185,Electrical Fault,1.15
C00149,2023-03-08,T111,M743,Inspection,5.2
C00150,2023-09-16,T457,M228,Emergency Repair,0.69
C00151,2023-12-24,T524,M304,Routine Maintenance,2.21
C00152,2024-06-04,T604,M3490,Software Update,0.74
C00153,2023-12-25,T949,M3097,Inspection,0.6
C00154,2023-09-05,T391,M2864,Calibration,0.71
C00155,2023-02-09,T482,M398,Calibration,0.78
C00156,2023-07-23,T577,M2976,Calibration,6.47
C00157,2023-07-21,T128,M703,Mechanical Failure,3.6
C00158,2024-06-08,T511,M1551,Routine Maintenance,2.53
C00159,2023-11-28,T825,M4274,Sensor Replacement,0.43
C00160,2024-05-07,T081,M601,Inspection,3.68
C00161,2023-12-20,T092,M584,Emergency Repair,2.95
C00162,2023-05-18,T079,M2151,Inspection,11.02
C00163,2023-07-21,T156,M4881,Sensor Replacement,0.04
C00164,2024-03-14,T361,M482,Emergency Repair,1.5
C00165,2023-12-29,T394,M2262,Software Update,8.34
C00166,2024-05-23,T920,M4136,Routine Maintenance,1.5
C00167,2023-02-04,T056,M3066,Sensor Replacement,1.29
C00168,2024-03-22,T525,M4522,Sensor Replacement,1.22
C00169,2023-07-15,T913,M1034,Electrical Fault,0.55
C00170,2024-06-30,T194,M4020,Sensor Replacement,1.69
C00171,2024-01-05,T870,M1794,Calibration,3.99
C00172,2023-06-05,T458,M3563,Mechanical Failure,4.48
C00173,2023-03-04,T683,M3176,Emergency Repair,0.28
C00174,2023-01-09,T797,M2451,Software Update,0.43
C00175,2023-12-15,T143,M052,Emergency Repair,7.05
C00176,2023-12-25,T071,M2076,Mechanical Failure,1.53
C00177,2024-05-21,T750,M1459,Mechanical Failure,5.57
C00178,2024-03-17,T102,M3167,Mechanical Failure,4.0
C00179,2024-02-09,T158,M276,Calibration,2.51
C00180,2023-11-20,T487,M843,Mechanical Failure,2.19
C00181,2023-11-30,T624,M2704,Emergency Repair,3.31
C00182,2024-02-04,T869,M4772,Sensor Replacement,1.66
C00183,2023-08-25,T344,M2618,Inspection,0.28
C00184,2024-02-08,T245,M3614,Emergency Repair,2.78
C00185,2023-05-24,T718,M1862,Sensor Replacement,0.45
C00186,2023-12-05,T845,M4558,Software Update,0.14
C00187,2023-06-28,T787,M151,Software Update,1.82
C00188,2024-05-03,T283,M2094,Mechanical Failure,0.76
C00189,2023-10-13,T748,M1009,Electrical Fault,1.19
C00190,2024-06-21,T618,M4455,Sensor Replacement,4.97
C00191,2023-04-25,T601,M3734,Electrical Fault,2.98
C00192,2023-12-19,T363,M3959,Calibration,3.08
C00193,2023-06-11,T226,M4139,Electrical Fault,0.79
C00194,2023-02-13,T034,M687,Mechanical Failure,5.02
C00195,2024-01-29,T422,M3924,Inspection,6.75
C00196,2023-03-21,T813,M3431,Software Update,0.32
C00197,2023-02-09,T204,M1168,Electrical Fault,1.07
C00198,2024-01-10,T825,M4991,Sensor Replacement,0.16
C00199,2023-05-15,T517,M1805,Routine Maintenance,0.09
C00200,2023-03-04,T677,M3962,Mechanical Failure,0.63
C00201,2024-01-13,T431,M4964,Electrical Fault,1.37
C00202,2023-02-25,T794,M4894,Sensor Replacement,0.5
C00203,2024-02-08,T212,M3439,Electrical Fault,2.69
C00204,2024-06-12,T085,M2130,Electrical Fault,2.47
C00205,2023-11-16,T173,M2455,Sensor Replacement,1.81
C00206,2023-04-04,T934,M4533,Routine Maintenance,1.85
C00207,2023-12-31,T805,M3687,Sensor Replacement,1.61
C00208,2024-01-26,T774,M3220,Electrical Fault,1.03
C00209,2023-09-08,T512,M647,Emergency Repair,1.73
C00210,2023-08-11,T387,M4800,Sensor Replacement,0.12
C00211,2024-05-24,T498,M752,Software Update,2.69
C00212,2024-04-04,T963,M505,Mechanical Failure,1.22
C00213,2024-05-14,T742,M4848,Inspection,0.43
C00214,2023-09-12,T310,M1028,Software Update,1.06
C00215,2024-03-28,T265,M4305,Sensor Replacement,4.97
C00216,2023-07-08,T728,M402,Emergency Repair,3.06
C00217,2023-09-18,T865,M3126,Emergency Repair,0.67
C00218,2023-02-08,T319,M3916,Calibration,1.78
C00219,2023-02-24,T519,M4957,Mechanical Failure,1.15
C00220,2023-08-09,T733,M056,Emergency Repair,2.43
C00221,2023-10-18,T486,M3672,Mechanical Failure,3.22
C00222,2023-08-11,T359,M2728,Inspection,2.78
C00223,2023-02-22,T612,M4973,Mechanical Failure,2.41
C00224,2023-06-06,T650,M1924,Mechanical Failure,8.52
C00225,2024-03-31,T491,M840,Mechanical Failure,1.1
C00226,2023-02-07,T361,M1678,Inspection,0.29
C00227,2023-06-25,T722,M2340,Electrical Fault,1.33
C00228,2023-09-05,T675,M3567,Electrical Fault,5.06
C00229,2023-09-12,T528,M3721,Software Update,0.29
C00230,2023-05-27,T354,M1618,Emergency Repair,2.19
C00231,2023-08-28,T394,M400,Routine Maintenance,1.26
C00232,2023-05-06,T466,M3510,Inspection,1.15
C00233,2024-04-01,T251,M310,Emergency Repair,0.23
C00234,2023-08-31,T101,M4435,Emergency Repair,1.71
C00235,2023-04-02,T441,M3138,Mechanical Failure,2.37
C00236,2023-05-19,T583,M457,Sensor Replacement,0.61
C00237,2023-11-23,T252,M3046,Routine Maintenance,1.83
C00238,2024-01-13,T432,M1004,Inspection,3.99
C00239,2023-02-22,T769,M526,Inspection,0.19
C00240,2023-06-17,T907,M257,Mechanical Failure,1.33
C00241,2023-12-03,T796,M1201,Mechanical Failure,0.47
C00242,2023-10-02,T682,M3371,Software Update,0.71
C00243,2024-04-25,T765,M578,Calibration,0.29
C00244,2023-10-05,T107,M4238,Routine Maintenance,0.64
C00245,2024-02-28,T779,M169,Calibration,0.24
C00246,2024-03-28,T272,M459,Electrical Fault,1.76
C00247,2024-02-11,T247,M445,Mechanical Failure,4.15
C00248,2024-02-15,T061,M3730,Mechanical Failure,5.88
C00249,2023-06-06,T069,M4855,Software Update,0.03
C00250,2023-02-10,T403,M4416,Calibration,2.98
C00251,2023-12-30,T397,M4203,Emergency Repair,11.72
C00252,2023-04-08,T403,M4242,Software Update,3.77
C00253,2024-02-05,T600,M1200,Inspection,1.25
C00254,2023-12-22,T218,M3076,Routine Maintenance,0.29
C00255,2023-12-17,T151,M572,Routine Maintenance,0.46
C00256,2023-05-25,T275,M4732,Emergency Repair,0.87
C00257,2023-09-12,T386,M594,Inspection,1.69
C00258,2024-01-05,T740,M3293,Calibration,1.7
C00259,2024-03-15,T042,M4661,Mechanical Failure,3.71
C00260,2023-04-09,T077,M3736,Inspection,0.3
C00261,2023-11-15,T947,M1166,Inspection,2.52
C00262,2023-03-21,T008,M897,Calibration,0.38
C00263,2023-08-16,T997,M1917,Inspection,3.11
C00264,2023-10-18,T076,M3625,Inspection,0.24
C00265,2023-02-12,T173,M075,Software Update,1.75
C00266,2023-02-19,T697,M1511,Software Update,1.11
C00267,2023-02-02,T711,M252,Inspection,5.61
C00268,2024-05-06,T485,M320,Sensor Replacement,3.01
C00269,2024-06-23,T663,M1181,Mechanical Failure,8.8
C00270,2023-08-15,T667,M1848,Software Update,2.76
C00271,2023-04-04,T641,M4701,Mechanical Failure,4.05
C00272,2023-04-02,T146,M2935,Electrical Fault,1.22
C00273,2023-04-08,T240,M4745,Calibration,1.67
C00274,2024-06-22,T555,M4957,Sensor Replacement,7.19
C00275,2023-01-28,T487,M2580,Emergency Repair,2.16
C00276,2023-01-31,T276,M036,Mechanical Failure,0.88
C00277,2023-06-01,T152,M2264,Inspection,4.58
C00278,2023-01-22,T129,M3790,Inspection,3.09
C00279,2023-09-27,T735,M2865,Mechanical Failure,2.23
C00280,2023-01-25,T002,M2200,Mechanical Failure,0.09
C00281,2023-08-12,T857,M3045,Emergency Repair,3.26
C00282,2024-02-16,T259,M2107,Inspection,0.14
C00283,2023-01-31,T793,M2655,Routine Maintenance,1.7
C00284,2023-10-22,T362,M3650,Routine Maintenance,1.12
C00285,2024-05-29,T893,M2180,Mechanical Failure,0.07
C00286,2023-11-16,T704,M1284,Mechanical Failure,0.19
C00287,2024-02-05,T285,M202,Software Update,5.66
C00288,2023-04-15,T661,M748,Sensor Replacement,1.01
C00289,2023-06-10,T041,M3007,Inspection,3.09
C00290,2024-04-30,T130,M215,Mechanical Failure,1.47
C00291,2023-08-06,T313,M547,Electrical Fault,2.77
C00292,2023-01-04,T736,M141,Calibration,4.01
C00293,2023-06-30,T447,M1451,Electrical Fault,1.07
C00294,2023-05-25,T562,M1720,Mechanical Failure,2.08
C00295,2024-02-22,T568,M4697,Electrical Fault,0.04
C00296,2024-05-07,T831,M4457,Electrical Fault,0.79
C00297,2023-02-20,T131,M1642,Emergency Repair,2.33
C00298,2023-03-11,T187,M3232,Software Update,0.17
C00299,2023-10-16,T902,M432,Software Update,5.53
C00300,2024-04-07,T546,M1382,Emergency Repair,8.0
C00301,2023-02-02,T781,M1182,Sensor Replacement,2.13
C00302,2024-04-15,T467,M4850,Routine Maintenance,0.44
C00303,2023-03-18,T068,M2769,Mechanical Failure,0.83
C00304,2023-01-27,T428,M4026,Emergency Repair,0.44
C00305,2023-02-27,T323,M815,Software Update,0.03
C00306,2023-10-02,T024,M2928,Electrical Fault,2.03
C00307,2023-05-20,T809,M3594,Electrical Fault,1.24
C00308,2024-01-30,T319,M1536,Calibration,1.46
C00309,2024-05-25,T328,M4545,Sensor Replacement,0.59
C00310,2023-03-02,T693,M375,Sensor Replacement,2.04
C00311,2024-02-29,T480,M2587,Routine Maintenance,5.86
C00312,2024-01-27,T778,M3601,Sensor Replacement,0.81
C00313,2023-05-28,T020,M3497,Electrical Fault,4.3
C00314,2023-03-10,T318,M2318,Routine Maintenance,3.97
C00315,2023-01-17,T352,M2691,Mechanical Failure,3.47
C00316,2023-06-25,T733,M1031,Calibration,2.39
C00317,2023-12-20,T098,M4962,Sensor Replacement,10.32
C00318,2023-07-18,T480,M891,Routine Maintenance,3.04
C00319,2023-01-12,T916,M1743,Sensor Replacement,0.54
C00320,2023-12-01,T181,M983,Calibration,0.43
C00321,2023-05-18,T363,M657,Mechanical Failure,1.2
C00322,2024-01-17,T316,M3856,Mechanical Failure,3.43
C00323,2024-04-30,T985,M2620,Emergency Repair,0.08
C00324,2023-12-24,T564,M2793,Mechanical Failure,0.51
C00325,2023-08-06,T938,M2794,Calibration,0.95
C00326,2023-03-09,T497,M2763,Calibration,14.66
C00327,2024-01-04,T119,M363,Mechanical Failure,3.61
C00328,2023-08-22,T648,M3105,Inspection,5.65
C00329,2024-03-06,T204,M4880,Emergency Repair,2.69
C00330,2023-01-20,T862,M597,Routine Maintenance,10.28
C00331,2023-09-28,T872,M1377,Sensor Replacement,2.02
C00332,2023-09-09,T688,M1016,Electrical Fault,0.42
C00333,2024-05-28,T271,M2037,Sensor Replacement,1.18
C00334,2024-06-23,T150,M1571,Inspection,1.02
C00335,2024-03-03,T518,M4618,Inspection,2.87
C00336,2023-05-07,T090,M436,Electrical Fault,10.68
C00337,2024-03-17,T662,M2887,Sensor Replacement,1.94
C00338,2023-07-21,T384,M507,Electrical Fault,1.14
C00339,2023-12-27,T285,M271,Routine Maintenance,0.92
C00340,2023-07-28,T193,M4758,Routine Maintenance,7.69
C00341,2023-02-10,T298,M2032,Sensor Replacement,6.32
C00342,2023-08-13,T383,M2299,Routine Maintenance,0.44
C00343,2024-06-17,T514,M840,Software Update,1.92
C00344,2024-01-17,T116,M756,Routine Maintenance,7.42
C00345,2023-08-03,T394,M1177,Sensor Replacement,0.29
C00346,2023-04-26,T333,M3775,Electrical Fault,0.91
C00347,2024-04-27,T370,M1708,Electrical Fault,0.6
C00348,2023-11-27,T237,M4378,Inspection,0.76
C00349,2023-08-06,T159,M529,Mechanical Failure,2.91
C00350,2024-04-02,T913,M3209,Inspection,7.08
C00351,2023-03-05,T836,M3959,Software Update,4.75
C00352,2023-11-14,T134,M2213,Calibration,5.11
C00353,2023-10-23,T223,M2726,Calibration,0.4
C00354,2023-12-30,T802,M2742,Inspection,4.51
C00355,2023-12-10,T689,M1357,Inspection,1.91
C00356,2023-08-10,T841,M868,Electrical Fault,0.56
C00357,2024-01-11,T982,M717,Mechanical Failure,1.5
C00358,2023-08-16,T982,M177,Calibration,1.1
C00359,2024-05-15,T586,M1312,Emergency Repair,4.79
C00360,2023-09-26,T783,M2335,Software Update,4.31
C00361,2024-03-27,T199,M3908,Routine Maintenance,0.18
C00362,2023-05-26,T490,M184,Software Update,2.11
C00363,2023-05-01,T807,M3898,Inspection,1.54
C00364,2023-03-02,T929,M4934,Calibration,2.2
C00365,2024-04-13,T462,M2259,Mechanical Failure,0.88
C00366,2024-01-09,T082,M111,Calibration,0.29
C00367,2023-09-10,T143,M351,Routine Maintenance,4.09
C00368,2023-06-28,T144,M4860,Emergency Repair,0.37
C00369,2023-09-04,T556,M2816,Electrical Fault,0.46
C00370,2023-12-25,T067,M3847,Sensor Replacement,0.37
C00371,2023-02-27,T176,M2984,Software Update,7.96
C00372,2024-05-03,T172,M775,Software Update,0.88
C00373,2023-04-17,T783,M021,Calibration,3.6
C00374,2024-04-05,T492,M1056,Mechanical Failure,1.45
C00375,2023-10-14,T072,M3798,Inspection,0.43
C00376,2023-06-13,T984,M4312,Electrical Fault,3.89
C00377,2023-05-12,T094,M930,Software Update,3.07
C00378,2023-12-22,T014,M909,Sensor Replacement,6.22
C00379,2024-06-24,T869,M4724,Mechanical Failure,1.01
C00380,2023-01-02,T723,M4018,Software Update,1.99
C00381,2024-05-13,T742,M3848,Calibration,4.02
C00382,2023-03-14,T018,M1313,Electrical Fault,9.88
C00383,2023-08-13,T861,M2558,Emergency Repair,0.92
C00384,2023-04-23,T003,M848,Routine Maintenance,1.99
C00385,2024-03-02,T263,M3115,Inspection,0.99
C00386,2023-01-14,T219,M1472,Software Update,1.2
C00387,2023-01-26,T242,M794,Routine Maintenance,0.12
C00388,2023-06-07,T020,M3429,Software Update,0.63
C00389,2023-09-11,T929,M4222,Calibration,0.38
C00390,2023-08-31,T331,M1154,Sensor Replacement,5.74
C00391,2023-08-18,T539,M2850,Sensor Replacement,1.1
C00392,2024-06-28,T182,M3502,Electrical Fault,1.04
C00393,2023-03-30,T637,M1478,Mechanical Failure,0.72
C00394,2023-07-28,T144,M1608,Mechanical Failure,1.84
C00395,2023-11-21,T360,M2742,Routine Maintenance,1.22
C00396,2023-12-20,T195,M3655,Sensor Replacement,3.78
C00397,2023-06-16,T685,M3872,Routine Maintenance,2.32
C00398,2023-06-20,T149,M4799,Routine Maintenance,5.16
C00399,2023-04-22,T783,M4186,Mechanical Failure,0.15
C00400,2023-05-09,T098,M2975,Routine Maintenance,1.54
C00401,2023-03-24,T036,M3829,Calibration,0.71
C00402,2024-05-18,T639,M3113,Electrical Fault,4.43
C00403,2024-03-09,T279,M395,Routine Maintenance,4.41
C00404,2023-02-20,T558,M3192,Mechanical Failure,2.5
C00405,2024-02-29,T697,M1642,Electrical Fault,0.26
C00406,2023-10-28,T723,M1263,Software Update,5.61
C00407,2024-02-27,T566,M4994,Mechanical Failure,1.53
C00408,2024-04-09,T025,M2355,Electrical Fault,3.68
C00409,2023-11-16,T638,M3456,Inspection,4.85
C00410,2023-11-19,T051,M976,Calibration,1.19
C00411,2023-10-24,T941,M2503,Emergency Repair,1.43
C00412,2023-08-19,T882,M4791,Routine Maintenance,1.66
C00413,2023-05-29,T996,M364,Software Update,3.44
C00414,2023-12-15,T840,M4815,Mechanical Failure,4.22
C00415,2023-06-18,T834,M4437,Routine Maintenance,3.42
C00416,2023-05-16,T372,M1366,Electrical Fault,7.3
C00417,2023-09-11,T958,M3994,Calibration,0.64
C00418,2023-02-07,T755,M2656,Routine Maintenance,0.3
C00419,2023-10-23,T318,M1888,Mechanical Failure,16.11
C00420,2023-12-03,T336,M4039,Emergency Repair,7.92
C00421,2023-12-05,T656,M4081,Routine Maintenance,1.95
C00422,2023-08-29,T636,M4892,Software Update,3.49
C00423,2023-05-26,T258,M4028,Sensor Replacement,0.56
C00424,2023-05-26,T849,M4193,Routine Maintenance,3.29
C00425,2024-02-01,T690,M3663,Electrical Fault,0.6
C00426,2023-07-27,T593,M3003,Routine Maintenance,2.04
C00427,2024-04-16,T417,M1048,Inspection,1.07
C00428,2024-05-07,T888,M4538,Electrical Fault,8.46
C00429,2023-06-21,T833,M1784,Sensor Replacement,6.05
C00430,2024-02-05,T037,M3691,Routine Maintenance,2.69
C00431,2024-02-02,T252,M2424,Emergency Repair,4.01
C00432,2023-04-09,T297,M3368,Sensor Replacement,2.64
C00433,2024-04-24,T465,M2158,Emergency Repair,0.94
C00434,2023-02-20,T253,M1529,Sensor Replacement,0.25
C00435,2023-08-13,T901,M3452,Routine Maintenance,2.04
C00436,2024-03-02,T937,M1954,Routine Maintenance,2.71
C00437,2024-03-23,T479,M053,Inspection,5.33
C00438,2023-01-23,T378,M3770,Electrical Fault,3.35
C00439,2023-02-26,T146,M3051,Emergency Repair,2.67
C00440,2023-10-09,T465,M4368,Software Update,0.06
C00441,2023-03-14,T586,M562,Sensor Replacement,7.27
C00442,2024-05-19,T362,M1256,Electrical Fault,1.56
C00443,2024-03-18,T870,M2380,Electrical Fault,0.47
C00444,2023-01-09,T811,M4070,Emergency Repair,5.47
C00445,2023-01-12,T925,M2079,Software Update,2.25
C00446,2024-06-08,T626,M2905,Software Update,0.45
C00447,2023-12-09,T596,M747,Calibration,0.43
C00448,2023-02-17,T101,M2230,Routine Maintenance,0.47
C00449,2023-01-06,T445,M1242,Electrical Fault,4.09
C00450,2023-05-22,T274,M4212,Software Update,0.71
C00451,2023-05-03,T442,M4719,Electrical Fault,5.44
C00452,2023-03-28,T925,M4932,Sensor Replacement,0.02
C00453,2024-03-18,T034,M3169,Software Update,0.13
C00454,2024-02-22,T468,M3437,Calibration,1.11
C00455,2023-04-21,T615,M2150,Mechanical Failure,2.41
C00456,2023-02-13,T218,M1042,Calibration,3.02
C00457,2023-03-23,T291,M444,Electrical Fault,0.58
C00458,2024-06-10,T645,M1378,Electrical Fault,0.98
C00459,2024-04-06,T121,M791,Routine Maintenance,1.69
C00460,2024-03-10,T012,M1600,Routine Maintenance,5.28
C00461,2024-04-03,T171,M4259,Emergency Repair,1.12
C00462,2024-02-24,T668,M3297,Mechanical Failure,0.7
C00463,2024-03-24,T383,M439,Inspection,4.57
C00464,2023-08-28,T216,M829,Calibration,5.31
C00465,2023-09-29,T673,M664,Inspection,1.47
C00466,2024-05-09,T634,M3775,Inspection,0.16
C00467,2023-10-20,T601,M3022,Software Update,1.44
C00468,2023-09-14,T682,M2461,Sensor Replacement,2.37
C00469,2024-03-04,T806,M1834,Emergency Repair,2.8
C00470,2024-06-01,T795,M1941,Electrical Fault,1.31
C00471,2024-01-27,T902,M2294,Software Update,3.87
C00472,2023-09-25,T865,M3349,Inspection,6.37
C00473,2023-05-22,T552,M2617,Inspection,0.44
C00474,2023-02-07,T375,M2931,Inspection,7.86
C00475,2023-02-14,T086,M1748,Calibration,0.48
C00476,2024-03-23,T398,M2312,Routine Maintenance,0.75
C00477,2023-11-11,T755,M4521,Emergency Repair,0.06
C00478,2023-10-01,T563,M2734,Routine Maintenance,1.81
C00479,2023-01-09,T270,M1587,Sensor Replacement,1.97
