call_id,satisfaction_score,comment,feedback_delay_days
C00677,5,Issue still persists,3
C00678,4,,1
C00679,4,Resolved the issue quickly,7
C00680,2,Issue still persists,5
C00681,4,Everything was fine,1
C00682,2,Everything was fine,0
C00683,3,Great Service.,7
C00684,3,Communication could be better,14
C00685,4,Quick and efficient,3
C00686,2,Technician was very professional,1
C00687,3,,0
C00688,4,Technician was very professional,1
C00689,3,Great Service.,1
C00690,4,,14
C00691,5,,2
C00692,4,Communication could be better,5
C00693,3,Took longer than expected.,3
C00694,2,Would appreciate faster response next time,2
C00695,3,Took longer than expected.,2
C00696,3,Technician was very professional,1
C00697,4,Would appreciate faster response next time,2
C00698,3,Everything was fine,2
C00699,4,Issue still persists,2
C00700,3,Technician was very professional,7
C00701,3,Took longer than expected.,3
C00702,1,Took longer than expected.,2
C00703,5,Took longer than expected.,2
C00704,5,Issue still persists,7
C00705,3,Quick and efficient,3
C00706,5,,2
C00707,5,Issue still persists,5
C00708,5,Communication could be better,0
C00709,5,Took longer than expected.,14
C00710,4,Would appreciate faster response next time,14
C00711,1,Everything was fine,7
C00712,5,Communication could be better,5
C00713,5,Issue still persists,5
C00714,5,Everything was fine,2
C00715,3,Technician was very professional,0
C00716,5,Would appreciate faster response next time,3
C00717,5,Resolved the issue quickly,0
C00718,4,Everything was fine,5
C00719,5,Great Service.,0
C00720,5,Quick and efficient,3
C00721,5,Technician was very professional,7
C00722,4,Issue still persists,7
C00723,5,Resolved the issue quickly,3
C00724,3,Great Service.,5
C00725,4,Would appreciate faster response next time,5
C00726,5,Great Service.,3
C00727,3,Quick and efficient,3
C00728,5,Took longer than expected.,7
C00729,5,Took longer than expected.,3
C00730,3,Resolved the issue quickly,5
C00731,4,Great Service.,0
C00732,5,Quick and efficient,2
C00733,5,Took longer than expected.,5
C00734,4,,14
C00735,2,,7
C00736,5,Took longer than expected.,3
C00737,4,Great Service.,2
C00738,5,Communication could be better,2
C00739,2,Quick and efficient,2
C00740,4,Would appreciate faster response next time,0
C00741,4,Resolved the issue quickly,3
C00742,5,Resolved the issue quickly,2
C00743,3,Communication could be better,5
C00744,3,Quick and efficient,2
C00745,4,Technician was very professional,1
C00746,3,Quick and efficient,7
C00747,4,Issue still persists,2
C00748,2,Resolved the issue quickly,5
C00749,4,Would appreciate faster response next time,5
C00750,3,,5
C00751,4,Would appreciate faster response next time,5
C00752,3,Communication could be better,14
C00753,5,Issue still persists,5
C00754,2,Issue still persists,5
C00755,3,Technician was very professional,3
C00756,5,Quick and efficient,5
C00757,4,Technician was very professional,1
C00758,3,,7
C00759,4,Technician was very professional,14
C00760,4,,3
C00761,4,Quick and efficient,1
C00762,5,Quick and efficient,1
C00763,2,,7
C00764,3,Technician was very professional,5
C00765,3,Quick and efficient,2
C00766,4,Took longer than expected.,7
C00767,3,,14
C00768,4,Quick and efficient,5
C00769,5,Everything was fine,0
C00770,3,,0
C00771,2,Issue still persists,1
C00772,4,Took longer than expected.,3
C00773,5,Quick and efficient,0
C00774,5,Issue still persists,3
C00775,2,Great Service.,1
C00776,4,Issue still persists,7
C00777,4,Would appreciate faster response next time,3
C00778,4,Resolved the issue quickly,7
C00779,3,Took longer than expected.,2
C00780,3,Took longer than expected.,14
C00781,5,Great Service.,0
C00782,2,Issue still persists,7
C00783,5,,7
C00784,4,,2
C00785,4,Resolved the issue quickly,7
C00786,4,Issue still persists,2
C00787,4,Issue still persists,5
C00788,5,Everything was fine,14
C00789,3,,1
C00790,3,Communication could be better,0
C00791,5,Quick and efficient,0
C00792,4,Communication could be better,1
C00793,5,Communication could be better,2
C00794,5,Took longer than expected.,5
C00795,5,Communication could be better,2
C00796,3,Technician was very professional,14
C00797,5,Would appreciate faster response next time,2
C00798,4,Resolved the issue quickly,0
C00799,3,Everything was fine,3
C00800,5,Everything was fine,5
C00801,3,Quick and efficient,1
C00802,3,Would appreciate faster response next time,7
C00803,3,,3
C00804,5,Quick and efficient,5
C00805,5,Quick and efficient,2
C00806,4,,0
C00807,3,Everything was fine,3
C00808,4,Resolved the issue quickly,7
C00809,3,Great Service.,1
C00810,4,Took longer than expected.,7
C00811,3,,5
C00812,3,,5
C00813,5,,3
C00814,5,Communication could be better,3
C00815,3,Took longer than expected.,14
C00816,5,Technician was very professional,7
C00817,5,Would appreciate faster response next time,5
C00818,3,,3
C00819,1,Quick and efficient,14
C00820,3,Communication could be better,3
C00821,5,Took longer than expected.,2
C00822,4,Communication could be better,14
C00823,5,Communication could be better,3
C00824,5,Quick and efficient,7
C00825,3,Would appreciate faster response next time,3
C00826,3,Communication could be better,7
C00827,4,Took longer than expected.,2
C00828,4,Took longer than expected.,0
C00829,2,Technician was very professional,0
C00830,5,Issue still persists,2
C00831,1,Quick and efficient,0
C00832,5,Issue still persists,2
C00833,4,Would appreciate faster response next time,5
C00834,5,Quick and efficient,14
C00835,4,Great Service.,1
C00836,4,Technician was very professional,14
C00837,5,Technician was very professional,1
C00838,5,Would appreciate faster response next time,3
C00839,3,Great Service.,5
C00840,5,Everything was fine,2
C00841,3,Everything was fine,0
C00842,4,Everything was fine,14
C00843,3,Quick and efficient,0
C00844,3,Everything was fine,0
C00845,4,Everything was fine,14
C00846,4,Issue still persists,0
C00847,5,Quick and efficient,5
C00848,4,Took longer than expected.,14
C00849,5,Would appreciate faster response next time,2
C00850,3,Would appreciate faster response next time,14
C00851,5,,2
C00852,4,Took longer than expected.,2
C00853,4,Issue still persists,1
C00854,4,Resolved the issue quickly,7
C00855,5,Technician was very professional,1
C00856,1,Technician was very professional,0
C00857,3,Took longer than expected.,2
C00858,2,Took longer than expected.,0
C00859,4,Communication could be better,1
C00860,4,Issue still persists,5
C00861,5,Technician was very professional,5
C00862,5,Resolved the issue quickly,1
C00863,3,Communication could be better,2
C00864,5,Resolved the issue quickly,5
C00865,3,Technician was very professional,7
C00866,5,Took longer than expected.,3
C00867,2,Great Service.,14
C00868,3,Communication could be better,2
C00869,3,Great Service.,14
C00870,5,Communication could be better,14
C00871,4,Would appreciate faster response next time,1
C00872,2,Would appreciate faster response next time,14
C00873,5,,1
C00874,2,Great Service.,7
C00875,2,Technician was very professional,0
C00876,4,Great Service.,14
C00877,4,Issue still persists,1
C00878,3,,0
C00879,5,Everything was fine,14
C00880,5,Quick and efficient,3
C00881,4,Technician was very professional,2
C00882,5,Issue still persists,1
C00883,5,Quick and efficient,2
C00884,4,Communication could be better,5
C00885,2,Great Service.,1
C00886,5,Issue still persists,2
C00887,4,Quick and efficient,3
C00888,3,Communication could be better,14
C00889,4,Technician was very professional,3
C00890,4,Resolved the issue quickly,14
C00891,1,Communication could be better,1
C00892,5,Everything was fine,2
C00893,4,Great Service.,2
C00894,4,Resolved the issue quickly,0
C00895,3,,14
C00896,5,Would appreciate faster response next time,14
C00897,5,Technician was very professional,7
C00898,5,Would appreciate faster response next time,5
C00899,3,Everything was fine,3
C00900,3,,14
C00901,4,Quick and efficient,3
C00902,4,,1
C00903,5,Technician was very professional,14
C00904,3,,2
