machine_id,type,install_date,region,status
M271,Furnace,2024-03-16,West,Inactive
M272,Mixer,2024-03-05,South,Inactive
M273,Welder,2024-09-11,West,Inactive
M274,Laser Cutter,2022-12-19,East,Active
M275,Mixer,2022-08-02,East,Inactive
M276,3D Print,2025-06-12,South,Inactive
M277,3D Print,2024-10-03,South,Active
M278,Furnace,2023-09-03,West,Inactive
M279,Packaging Unit,2022-10-31,North,Inactive
M280,Laser Cutter,2024-09-12,South,Active
M281,Grinder,2023-09-16,West,Inactive
M282,Laser Cutter,2024-02-08,North,Active
M283,Conveyor,2024-11-08,South,Inactive
M284,Conveyor,2024-10-27,West,Active
M285,Lathe,2023-06-08,East,Active
M286,Laser Cutter,2022-12-03,South,Active
M287,3D Print,2023-01-10,North,Inactive
M288,3D Print,2022-11-30,East,Inactive
M289,Welder,2023-10-17,South,Inactive
M290,Drill,2025-05-17,East,Active
M291,Press,2022-12-01,North,Active
M292,CNC-Machine,2023-12-24,West,Inactive
M293,Furnace,2024-01-21,North,Inactive
M294,Mixer,2025-05-03,South,Inactive
M295,Furnace,2024-11-15,North,Active
M296,3D Print,2024-01-06,North,Inactive
M297,Packaging Unit,2022-07-24,East,Active
M298,Welder,2023-03-17,East,Active
M299,Drill,2024-03-27,West,Inactive
M300,Conveyor,2025-02-16,South,Active
M301,Lathe,2024-06-01,South,Active
M302,Conveyor,2022-08-30,West,Inactive
M303,Mixer,2024-12-07,North,Active
M304,Welder,2023-05-01,North,Active
M305,Mixer,2024-12-19,South,Inactive
M306,3D Print,2022-10-18,West,Inactive
M307,Lathe,2023-07-20,West,Inactive
M308,Conveyor,2023-05-11,South,Inactive
M309,Pump,2022-12-19,East,Inactive
M310,Mixer,2025-06-27,South,Inactive
M311,Grinder,2023-11-30,East,Inactive
M312,Drill,2022-10-19,South,Inactive
M313,Furnace,2023-06-26,West,Active
M314,Grinder,2022-11-19,East,Inactive
M315,Welder,2024-09-11,East,Inactive
M316,Furnace,2025-06-17,East,Inactive
M317,Welder,2024-10-18,North,Active
M318,Press,2023-12-30,East,Inactive
M319,Pump,2024-03-03,North,Active
M320,Welder,2023-07-15,South,Inactive
M321,Welder,2023-07-02,South,Inactive
M322,Grinder,2025-06-13,East,Inactive
M323,Drill,2022-07-26,West,Active
M324,Compressor,2025-01-02,West,Inactive
M325,3D Print,2023-11-19,South,Inactive
M326,Laser Cutter,2023-10-01,West,Active
M327,Pump,2023-05-30,West,Active
M328,Laser Cutter,2025-04-03,North,Inactive
M329,Conveyor,2024-11-17,West,Inactive
M330,CNC-Machine,2024-05-17,North,Inactive
M331,Lathe,2023-07-24,North,Active
M332,Welder,2024-10-08,North,Inactive
M333,Mixer,2023-01-05,West,Active
M334,Conveyor,2024-02-21,East,Active
M335,Compressor,2025-05-05,North,Inactive
M336,Welder,2025-01-15,South,Inactive
M337,Grinder,2023-09-26,West,Inactive
M338,Laser Cutter,2023-07-18,West,Inactive
M339,Compressor,2023-12-19,South,Active
M340,Press,2023-01-17,West,Inactive
M341,Lathe,2024-02-11,South,Inactive
M342,Grinder,2022-08-23,East,Active
M343,Packaging Unit,2024-10-14,West,Active
M344,Drill,2023-01-30,West,Inactive
M345,3D Print,2023-05-15,North,Inactive
M346,Laser Cutter,2023-01-08,East,Active
M347,3D Print,2025-02-22,East,Inactive
M348,Welder,2023-12-17,East,Inactive
M349,Drill,2025-05-14,West,Inactive
M350,3D Print,2023-03-24,South,Inactive
M351,Compressor,2022-12-13,South,Active
M352,Compressor,2023-07-23,South,Active
M353,Grinder,2022-11-04,East,Active
M354,Compressor,2025-04-08,North,Inactive
M355,CNC-Machine,2025-06-28,West,Active
M356,Welder,2023-01-14,West,Active
M357,Grinder,2024-11-04,East,Active
M358,Lathe,2024-07-04,South,Inactive
M359,Drill,2023-10-02,West,Inactive
M360,Grinder,2024-04-13,South,Inactive
M361,Laser Cutter,2024-11-04,South,Active
M362,Furnace,2022-09-08,West,Inactive
M363,Furnace,2025-01-07,South,Active
M364,Mixer,2023-10-03,South,Active
M365,Packaging Unit,2022-10-31,East,Inactive
M366,Press,2024-06-02,North,Active
M367,Lathe,2025-05-05,West,Inactive
M368,Conveyor,2023-04-20,South,Inactive
M369,Furnace,2023-01-16,South,Inactive
M370,3D Print,2024-06-03,North,Inactive
M371,CNC-Machine,2023-01-03,East,Active
M372,Mixer,2025-06-12,East,Inactive
M373,Press,2023-07-03,West,Inactive
M374,3D Print,2023-06-10,South,Active
M375,Packaging Unit,2025-04-02,West,Active
M376,Compressor,2025-01-26,West,Inactive
M377,Pump,2025-06-08,North,Inactive
M378,Mixer,2023-11-18,East,Inactive
M379,Lathe,2023-05-11,North,Active
M380,Lathe,2024-07-14,South,Active
M381,CNC-Machine,2024-12-04,North,Inactive
M382,Compressor,2023-03-27,East,Inactive
M383,CNC-Machine,2024-04-25,South,Inactive
M384,3D Print,2024-02-26,North,Inactive
M385,CNC-Machine,2023-01-12,South,Inactive
M386,Drill,2024-08-18,West,Active
M387,Drill,2024-02-17,South,Inactive
M388,Laser Cutter,2024-12-19,South,Active
M389,3D Print,2024-04-13,East,Inactive
M390,Press,2024-01-20,West,Active
M391,Laser Cutter,2023-05-20,East,Inactive
M392,Packaging Unit,2023-10-25,North,Active
M393,Compressor,2024-07-14,North,Active
M394,Drill,2024-05-15,North,Active
M395,Pump,2022-09-27,East,Active
M396,Furnace,2025-03-15,West,Active
M397,Press,2025-06-18,North,Inactive
M398,Drill,2024-06-28,West,Inactive
M399,Furnace,2023-07-30,East,Inactive
M400,Pump,2023-12-22,North,Inactive
M401,Welder,2023-10-16,South,Inactive
M402,Mixer,2023-07-01,West,Active
M403,Lathe,2024-08-18,East,Inactive
M404,CNC-Machine,2025-03-25,South,Inactive
M405,CNC-Machine,2022-11-14,North,Inactive
M406,CNC-Machine,2024-10-07,North,Active
M407,Grinder,2025-02-02,East,Inactive
M408,Welder,2023-11-04,South,Inactive
M409,Mixer,2024-06-14,South,Inactive
M410,Furnace,2024-06-25,South,Inactive
M411,Welder,2022-08-06,North,Inactive
M412,Laser Cutter,2023-12-13,East,Active
M413,Press,2022-12-12,East,Active
M414,Laser Cutter,2024-01-06,North,Inactive
M415,Furnace,2025-05-30,North,Inactive
M416,Press,2023-01-15,North,Inactive
M417,Pump,2023-11-28,South,Active
M418,3D Print,2022-09-01,East,Inactive
M419,Drill,2024-12-25,South,Active
M420,Mixer,2024-12-15,South,Active
M421,Grinder,2025-06-05,West,Inactive
M422,Drill,2024-03-09,East,Inactive
M423,Press,2022-10-20,West,Active
M424,Press,2024-04-03,West,Inactive
M425,Welder,2023-08-17,East,Inactive
M426,3D Print,2022-07-28,North,Inactive
M427,Lathe,2024-08-29,South,Active
M428,Press,2023-05-08,West,Inactive
M429,Press,2025-03-02,North,Active
M430,Compressor,2023-04-17,North,Inactive
M431,Press,2023-05-19,South,Inactive
M432,CNC-Machine,2023-01-24,South,Inactive
M433,Mixer,2023-08-15,East,Active
M434,Conveyor,2023-09-01,North,Inactive
M435,Press,2022-12-14,North,Active
M436,Conveyor,2022-08-09,West,Active
M437,Conveyor,2023-06-12,North,Inactive
M438,Welder,2024-03-12,North,Active
M439,Furnace,2022-12-23,West,Inactive
M440,Conveyor,2024-06-26,South,Active
M441,Mixer,2024-12-06,South,Active
M442,Furnace,2023-04-16,North,Active
M443,Conveyor,2023-08-04,East,Active
M444,Pump,2024-09-04,South,Inactive
M445,Laser Cutter,2022-09-16,South,Inactive
M446,Laser Cutter,2022-09-17,East,Active
M447,Press,2025-03-09,North,Inactive
M448,Pump,2022-12-01,South,Active
M449,Drill,2025-05-15,North,Inactive
M450,Grinder,2024-11-13,West,Active
M451,CNC-Machine,2024-08-19,East,Active
M452,Compressor,2023-07-09,North,Active
M453,Packaging Unit,2025-06-03,East,Active
M454,Pump,2024-04-08,West,Active
M455,Conveyor,2025-01-13,South,Active
M456,Pump,2023-09-24,South,Active
M457,Packaging Unit,2025-06-25,North,Active
M458,Drill,2023-02-01,South,Inactive
M459,Packaging Unit,2024-03-28,West,Inactive
M460,Laser Cutter,2023-05-24,West,Active
M461,3D Print,2025-05-31,South,Active
M462,Press,2025-02-09,South,Active
M463,Lathe,2023-11-07,West,Active
M464,Drill,2025-05-10,East,Inactive
M465,Conveyor,2023-08-30,West,Active
M466,Grinder,2022-09-08,South,Active
M467,3D Print,2022-09-23,East,Inactive
M468,Welder,2025-01-26,East,Inactive
M469,Compressor,2023-02-18,North,Inactive
M470,3D Print,2024-10-27,West,Active
M471,Drill,2023-05-29,North,Active
M472,Drill,2025-05-11,West,Inactive
M473,Compressor,2023-06-11,East,Inactive
M474,Conveyor,2022-09-01,East,Active
M475,Welder,2024-03-29,South,Active
M476,3D Print,2025-01-17,West,Inactive
M477,Packaging Unit,2023-09-29,South,Active
M478,Welder,2024-05-07,West,Inactive
M479,Furnace,2022-08-24,North,Inactive
M480,Furnace,2022-09-18,East,Active
M481,CNC-Machine,2024-03-25,South,Inactive
M482,Pump,2025-03-21,West,Inactive
M483,Packaging Unit,2025-01-13,East,Active
M484,Lathe,2022-08-09,West,Active
M485,Drill,2025-03-01,East,Active
M486,Furnace,2023-06-13,South,Inactive
M487,Mixer,2025-07-07,North,Active
M488,Welder,2024-03-19,West,Inactive
M489,Compressor,2023-12-13,West,Inactive
M490,Mixer,2023-04-19,East,Inactive
M491,Pump,2022-08-14,East,Active
M492,Laser Cutter,2023-11-05,North,Active
M493,3D Print,2025-02-04,West,Inactive
M494,Packaging Unit,2024-03-02,South,Inactive
M495,Drill,2024-06-19,West,Active
M496,Lathe,2022-07-23,East,Inactive
M497,CNC-Machine,2023-07-26,West,Active
M498,Laser Cutter,2024-10-07,East,Inactive
M499,Packaging Unit,2023-07-29,East,Active
M500,Mixer,2025-05-16,West,Active
M501,CNC-Machine,2025-04-11,South,Inactive
M502,Press,2024-11-24,North,Active
M503,Welder,2023-01-31,North,Inactive
M504,Furnace,2023-05-22,North,Inactive
M505,Laser Cutter,2024-03-20,South,Inactive
M506,Laser Cutter,2025-02-21,North,Inactive
M507,Furnace,2024-05-28,East,Active
M508,Grinder,2023-01-02,South,Active
M509,CNC-Machine,2023-02-19,North,Inactive
M510,Pump,2023-10-02,South,Inactive
M511,Pump,2023-10-18,North,Inactive
M512,Conveyor,2024-07-10,West,Active
M513,Drill,2025-05-24,West,Active
M514,Furnace,2022-11-08,East,Inactive
M515,Mixer,2022-12-19,East,Active
M516,Laser Cutter,2025-03-16,North,Inactive
M517,Conveyor,2024-01-14,North,Inactive
M518,Compressor,2025-06-06,East,Active
M519,3D Print,2025-05-07,West,Active
M520,Drill,2023-05-14,East,Active
M521,Pump,2023-05-27,North,Active
M522,Pump,2025-01-11,East,Inactive
M523,Grinder,2023-03-11,South,Inactive
M524,Conveyor,2024-07-13,South,Active
M525,Laser Cutter,2024-01-27,East,Active
M526,Grinder,2023-10-21,East,Active
M527,Lathe,2024-03-22,South,Inactive
M528,Packaging Unit,2024-06-30,East,Active
M529,Drill,2023-07-04,East,Active
M530,3D Print,2024-05-04,East,Inactive
M531,Pump,2022-10-06,North,Inactive
M532,Welder,2023-03-07,East,Active
M533,Welder,2024-06-07,South,Active
M534,Mixer,2024-02-12,West,Inactive
M535,Mixer,2024-03-26,West,Inactive
M536,Grinder,2024-04-17,South,Inactive
M537,CNC-Machine,2024-05-23,East,Inactive
M538,Grinder,2022-11-15,South,Active
M539,Pump,2024-03-08,West,Inactive
M540,Furnace,2023-07-26,North,Inactive
M541,CNC-Machine,2023-03-03,South,Inactive
M542,Pump,2024-02-22,West,Active
M543,Welder,2024-06-07,West,Active
M544,Welder,2024-05-28,North,Inactive
M545,Compressor,2023-12-02,South,Inactive
M546,Lathe,2023-03-17,East,Active
M547,Conveyor,2024-08-23,West,Active
M548,CNC-Machine,2025-01-15,East,Inactive
M549,3D Print,2025-05-04,East,Inactive
M550,Furnace,2024-05-08,East,Active
M551,Packaging Unit,2023-08-06,West,Inactive
M552,CNC-Machine,2024-05-03,West,Active
M553,Conveyor,2024-09-16,South,Inactive
M554,Packaging Unit,2025-05-12,North,Active
M555,CNC-Machine,2022-09-19,West,Active
M556,Compressor,2024-01-05,North,Active
M557,Pump,2024-02-01,West,Active
M558,CNC-Machine,2023-05-05,South,Inactive
M559,Mixer,2024-03-25,West,Active
M560,Pump,2022-12-23,North,Inactive
M561,3D Print,2022-12-08,South,Active
M562,CNC-Machine,2023-04-07,East,Inactive
M563,Pump,2025-03-02,West,Active
M564,Furnace,2025-03-07,East,Active
M565,3D Print,2024-03-28,South,Active
M566,Lathe,2023-03-10,East,Inactive
M567,Laser Cutter,2024-01-13,North,Inactive
M568,Grinder,2022-10-14,North,Inactive
M569,Pump,2022-08-01,West,Active
M570,CNC-Machine,2024-02-13,North,Active
M571,Conveyor,2024-09-21,East,Inactive
M572,Welder,2024-03-20,West,Active
M573,3D Print,2023-09-25,South,Active
M574,CNC-Machine,2023-07-01,West,Active
M575,Drill,2024-02-23,East,Inactive
M576,Conveyor,2023-05-22,West,Inactive
M577,Welder,2023-04-14,West,Active
M578,Pump,2022-08-21,North,Active
M579,CNC-Machine,2024-05-26,West,Active
M580,CNC-Machine,2024-01-18,West,Active
M581,Laser Cutter,2025-01-26,North,Inactive
M582,Welder,2025-03-22,West,Inactive
M583,Compressor,2024-01-21,South,Active
M584,Press,2025-07-13,West,Active
M585,Laser Cutter,2024-03-24,East,Inactive
M586,Mixer,2024-11-10,East,Active
M587,Packaging Unit,2024-07-02,South,Inactive
M588,Furnace,2024-03-17,South,Inactive
M589,Laser Cutter,2024-03-15,East,Inactive
M590,Compressor,2023-12-24,East,Active
M591,Compressor,2023-04-08,South,Inactive
M592,CNC-Machine,2023-10-30,South,Inactive
M593,Welder,2024-02-14,South,Active
M594,Conveyor,2022-09-21,North,Active
M595,Compressor,2022-07-17,East,Inactive
M596,Laser Cutter,2025-02-05,South,Active
M597,Grinder,2023-01-03,West,Inactive
M598,Mixer,2024-08-18,South,Active
M599,Drill,2022-09-28,West,Inactive
M600,Press,2025-06-01,South,Inactive
M601,Lathe,2023-01-20,East,Inactive
M602,Grinder,2023-04-12,East,Inactive
M603,Lathe,2024-07-20,South,Active
M604,Furnace,2024-11-10,South,Inactive
M605,CNC-Machine,2025-07-01,East,Inactive
M606,Grinder,2023-10-08,South,Inactive
M607,Pump,2022-08-02,West,Active
M608,Welder,2022-10-06,East,Inactive
M609,Press,2022-11-17,South,Active
M610,Mixer,2023-10-08,South,Active
M611,3D Print,2025-06-16,East,Active
M612,Compressor,2024-12-22,East,Active
M613,Laser Cutter,2024-03-22,West,Inactive
M614,Lathe,2025-01-14,South,Active
M615,Conveyor,2023-01-04,South,Inactive
M616,Furnace,2023-07-23,East,Inactive
M617,Packaging Unit,2025-01-19,West,Inactive
M618,Conveyor,2025-06-15,North,Active
M619,Compressor,2024-07-16,East,Inactive
M620,3D Print,2023-08-25,East,Active
M621,Welder,2024-01-04,North,Active
M622,Conveyor,2022-07-27,West,Active
M623,Furnace,2023-06-13,North,Active
M624,Grinder,2023-07-25,North,Active
M625,Laser Cutter,2024-05-16,North,Active
M626,CNC-Machine,2025-02-05,West,Inactive
M627,Conveyor,2024-07-31,East,Inactive
M628,3D Print,2023-03-07,West,Inactive
M629,Conveyor,2024-07-23,North,Inactive
M630,Mixer,2025-03-21,South,Inactive
M631,Press,2024-09-05,East,Inactive
M632,Packaging Unit,2023-09-30,North,Inactive
M633,Compressor,2023-04-24,South,Active
M634,Packaging Unit,2024-03-23,South,Inactive
M635,Furnace,2023-12-27,West,Active
M636,Compressor,2022-09-09,South,Active
M637,Lathe,2023-04-23,East,Active
M638,CNC-Machine,2022-12-19,West,Active
M639,Compressor,2025-04-07,West,Active
M640,Pump,2022-08-31,South,Active
M641,Pump,2023-11-22,West,Active
M642,CNC-Machine,2024-01-19,East,Inactive
M643,CNC-Machine,2023-11-28,East,Inactive
M644,Mixer,2024-09-21,West,Active
M645,Laser Cutter,2025-06-22,West,Active
M646,Pump,2023-05-28,North,Active
M647,Welder,2024-12-06,West,Inactive
M648,Compressor,2023-04-19,West,Inactive
M649,Grinder,2023-08-31,South,Active
M650,Pump,2024-10-03,West,Inactive
M651,Laser Cutter,2025-01-02,East,Inactive
M652,Mixer,2023-02-23,East,Active
M653,Press,2025-04-27,North,Active
M654,Lathe,2022-08-09,South,Active
